,application_mode,application_order,course,daytime_evening_attendance,mother_s_occupation,father_s_occupation
1809,51,1,9991,0,5,3
1810,39,1,9254,1,9,9
1811,1,6,9500,1,3,3
1812,51,1,9500,1,5,5
1813,1,2,9147,1,9,9
1814,18,1,9070,1,4,7
1815,39,1,9003,1,1,1
1816,43,1,9991,0,6,6
1817,43,1,9070,1,9,9
1818,17,4,9773,1,9,9
1819,17,3,9500,1,3,3
1820,43,1,9085,1,4,9
1821,1,3,9500,1,4,3
1822,17,1,9147,1,4,5
1823,39,1,9670,1,4,4
1824,1,1,9238,1,3,3
1825,17,1,9254,1,5,3
1826,1,1,9238,1,5,7
1827,17,1,9085,1,4,9
1828,7,1,9500,1,4,5
1829,1,1,9147,1,5,6
1830,1,1,9853,1,9,8
1831,1,1,9238,1,4,4
1832,17,2,9147,1,9,8
1833,1,1,9147,1,9,9
1834,17,1,9500,1,3,9
1835,1,1,9238,1,191,192
1836,43,1,8014,0,9,3
1837,39,1,9500,1,9,9
1838,17,3,9500,1,2,5
1839,39,1,9070,1,4,4
1840,10,1,9773,1,0,5
1841,17,1,9130,1,3,10
1842,1,1,9147,1,3,6
1843,1,2,9147,1,3,3
1844,1,6,9500,1,9,9
1845,1,1,9130,1,2,4
1846,17,1,9003,1,5,2
1847,39,1,9991,0,9,10
1848,1,2,9500,1,2,2
1849,43,3,9254,1,2,2
1850,7,1,9500,1,7,10
1851,1,1,9119,1,9,7
1852,1,1,9147,1,3,3
1853,44,1,9003,1,2,10
1854,39,1,9085,1,90,90
1855,39,2,9670,1,90,90
1856,1,1,9070,1,9,9
1857,15,1,9238,1,9,9
1858,17,3,9070,1,4,2
1859,42,1,9991,0,2,2
1860,39,1,9119,1,0,5
1861,39,1,9119,1,4,4
1862,1,1,9254,1,5,4
1863,17,1,9070,1,9,5
1864,1,1,9130,1,4,4
1865,39,1,9991,0,3,7
1866,39,2,9147,1,5,9
1867,39,1,9991,0,9,6
1868,1,3,171,1,9,8
1869,1,1,9773,1,0,0
1870,17,1,9670,1,7,2
1871,1,6,9500,1,4,4
1872,51,1,9500,1,4,10
1873,39,1,8014,0,0,0
1874,1,4,9773,1,7,7
1875,1,1,9500,1,9,9
1876,39,1,9556,1,3,7
1877,1,5,9500,1,4,4
1878,1,2,171,1,5,5
1879,17,1,9500,1,4,9
1880,44,1,9119,1,9,9
1881,39,1,9003,1,9,4
1882,17,1,9254,1,9,9
1883,1,1,171,1,10,5
1884,39,1,9500,1,191,172
1885,1,1,9500,1,9,3
1886,44,1,9003,1,9,7
1887,43,1,9773,1,5,0
1888,10,1,9085,1,2,8
1889,1,1,171,1,9,3
1890,1,1,171,1,4,4
1891,1,5,9500,1,7,7
1892,1,1,9130,1,4,3
1893,1,1,171,1,4,8
1894,18,1,171,1,4,3
1895,1,1,9070,1,7,9
1896,1,1,9085,1,8,8
1897,1,1,9773,1,2,2
1898,1,1,171,1,4,1
1899,53,1,9085,1,2,8
1900,43,1,9773,1,3,0
1901,42,1,9085,1,4,4
1902,1,1,9130,1,4,4
1903,17,1,9500,1,4,10
1904,1,1,9773,1,7,9
1905,44,1,9238,1,4,8
1906,1,6,9500,1,5,9
1907,1,6,9500,1,9,10
1908,17,1,9853,1,3,9
1909,1,1,9500,1,2,2
1910,1,2,9670,1,4,5
1911,1,2,9500,1,5,7
1912,1,2,9556,1,9,3
1913,17,3,8014,0,3,3
1914,1,1,9853,1,9,4
1915,1,4,9500,1,4,8
1916,17,5,9500,1,5,8
1917,1,4,9500,1,9,10
1918,1,2,9070,1,9,9
1919,43,1,9670,1,1,1
1920,44,1,9085,1,3,7
1921,1,2,9238,1,9,8
1922,1,1,9853,1,9,1
1923,17,3,9147,1,5,1
1924,17,1,9670,1,4,7
1925,17,1,9238,1,4,10
1926,1,1,9085,1,9,4
1927,17,2,9773,1,9,9
1928,1,1,9070,1,9,5
1929,17,3,9500,1,9,9
1930,1,4,9500,1,1,1
1931,17,1,9670,1,5,7
1932,17,2,9238,1,3,3
1933,39,1,9500,1,9,4
1934,1,4,9500,1,9,9
1935,17,6,9500,1,3,3
1936,17,1,9130,1,2,10
1937,1,1,9500,1,4,5
1938,39,1,9085,1,4,10
1939,1,2,9773,1,3,4
1940,1,2,9254,1,9,4
1941,1,1,9238,1,9,6
1942,1,1,9070,1,9,9
1943,1,1,9070,1,3,5
1944,1,2,9773,1,4,7
1945,1,4,9500,1,9,9
1946,1,1,9500,1,5,3
1947,17,1,9085,1,4,10
1948,1,1,9773,1,9,9
1949,18,1,9500,1,5,5
1950,1,1,9254,1,4,7
1951,43,2,9254,1,9,9
1952,1,1,171,1,7,7
1953,1,4,9254,1,5,6
1954,1,4,9500,1,2,3
1955,18,1,9853,1,4,0
1956,1,4,9238,1,4,5
1957,7,1,9500,1,4,4
1958,1,1,9238,1,4,9
1959,53,1,9085,1,9,9
1960,1,1,9238,1,4,9
1961,18,1,9500,1,9,4
1962,1,1,9670,1,5,4
1963,1,2,9500,1,4,4
1964,17,1,9085,1,4,1
1965,7,1,9003,1,2,4
1966,1,1,9085,1,3,4
1967,1,3,9085,1,4,3
1968,17,1,9853,1,3,4
1969,1,4,9670,1,4,7
1970,51,1,9238,1,5,2
1971,17,1,9085,1,2,4
1972,17,2,9670,1,5,4
1973,17,1,9147,1,4,6
1974,1,4,9500,1,3,10
1975,51,1,9070,1,4,4
1976,1,4,9500,1,3,3
1977,44,1,9238,1,191,102
1978,44,1,9085,1,3,3
1979,1,1,9670,1,9,9
1980,1,1,9147,1,9,9
1981,17,1,9238,1,7,7
1982,43,1,9085,1,6,6
1983,1,1,9500,1,5,8
1984,1,1,9500,1,5,5
1985,17,2,9254,1,9,7
1986,42,1,9500,1,9,9
1987,39,1,9991,0,9,10
1988,1,2,9500,1,3,3
1989,1,5,9670,1,4,10
1990,17,1,8014,0,5,5
1991,43,1,171,1,9,9
1992,39,1,8014,0,4,7
1993,1,1,9147,1,193,181
1994,1,1,9254,1,0,0
1995,1,5,9238,1,0,2
1996,17,1,9085,1,4,8
1997,17,1,9773,1,9,9
1998,39,1,8014,0,4,7
1999,51,1,9147,1,9,7
2000,39,1,9254,1,9,6
2001,1,1,9238,1,9,5
2002,51,1,9254,1,9,9
2003,17,5,9853,1,4,8
2004,7,1,9853,1,0,0
2005,1,1,9085,1,4,10
2006,39,1,8014,0,9,8
2007,16,3,9085,1,9,2
2008,1,1,171,1,9,7
2009,1,6,9773,1,90,90
2010,18,1,9853,1,9,5
2011,39,1,9991,0,9,4
2012,39,1,9853,1,5,3
2013,39,1,9853,1,9,9
2014,39,1,9003,1,4,4
2015,1,1,9238,1,6,6
2016,39,1,9254,1,6,6
2017,1,1,9500,1,9,10
2018,1,1,9254,1,5,5
2019,1,2,9773,1,4,9
2020,42,1,9003,1,9,5
2021,39,1,9853,1,9,4
2022,17,4,171,1,9,9
2023,1,1,9070,1,5,8
2024,39,1,9991,0,9,10
2025,43,1,9500,1,4,10
2026,1,1,171,1,3,3
2027,1,2,171,1,1,3
2028,1,1,9500,1,4,9
2029,1,1,9773,1,9,6
2030,17,2,9500,1,9,10
2031,39,1,9254,1,9,9
2032,39,1,9085,1,9,6
2033,39,2,9991,0,9,9
2034,39,1,9773,1,6,6
2035,42,1,9500,1,2,8
2036,17,1,9147,1,5,9
2037,7,1,9130,1,1,1
2038,10,1,9670,1,9,9
2039,1,4,9238,1,7,7
2040,1,5,9853,1,9,9
2041,57,1,9991,0,4,6
2042,1,1,9254,1,9,3
2043,1,3,9254,1,9,9
2044,44,1,9085,1,3,3
2045,1,2,9500,1,9,1
2046,1,2,9500,1,7,7
2047,17,2,9556,1,7,7
2048,17,4,9500,1,2,5
2049,1,4,9500,1,9,7
2050,1,1,9238,1,9,3
2051,17,1,9238,1,7,7
2052,1,2,9773,1,4,5
2053,1,6,9500,1,3,9
2054,1,2,9556,1,4,5
2055,1,1,9070,1,9,8
2056,53,1,9003,1,9,7
2057,44,1,9085,1,9,9
2058,1,1,9147,1,5,7
2059,44,1,9085,1,4,10
2060,17,6,9500,1,3,9
2061,17,5,9556,1,9,8
2062,1,3,9500,1,9,9
2063,1,1,9085,1,4,7
2064,17,4,9147,1,9,9
2065,1,2,9853,1,9,8
2066,1,5,9254,1,7,10
2067,17,5,9070,1,4,4
2068,18,4,9853,1,4,10
2069,17,6,9147,1,9,7
2070,1,1,9670,1,1,10
2071,1,1,9500,1,9,4
2072,1,1,9670,1,5,9
2073,1,3,9085,1,9,9
2074,1,1,9238,1,3,9
2075,17,2,9238,1,9,4
2076,1,4,9238,1,4,10
2077,17,1,9500,1,4,8
2078,17,2,9500,1,3,6
2079,1,5,9500,1,7,7
2080,1,1,9500,1,9,9
2081,1,1,9500,1,2,1
2082,1,2,9500,1,9,8
2083,1,3,9773,1,2,3
2084,1,1,9773,1,9,9
2085,1,4,9773,1,99,90
2086,7,1,8014,0,4,4
2087,17,1,9130,1,3,6
2088,1,3,9500,1,4,8
2089,39,1,9670,1,4,7
2090,1,5,9500,1,5,7
2091,1,3,9085,1,4,7
2092,1,1,9500,1,2,1
2093,1,1,9500,1,9,9
2094,17,1,9853,1,2,2
2095,43,1,9130,1,2,2
2096,7,1,9500,1,4,4
2097,1,2,9238,1,7,7
2098,18,1,9500,1,5,5
2099,17,2,9254,1,5,5
2100,17,1,9773,1,9,5
2101,18,1,8014,0,4,3
2102,1,6,9500,1,9,8
2103,1,2,9773,1,3,0
2104,1,1,9238,1,9,9
2105,43,1,9500,1,4,7
2106,16,1,9070,1,3,3
2107,1,1,9773,1,9,9
2108,17,1,9085,1,2,9
2109,44,1,9085,1,2,2
2110,44,3,9085,1,4,1
2111,17,1,9003,1,9,2
2112,1,2,9556,1,9,9
2113,1,1,9238,1,175,183
2114,17,1,9853,1,5,5
2115,17,2,9670,1,5,5
2116,1,1,9238,1,4,4
2117,1,5,9500,1,9,9
2118,1,4,9773,1,90,4
2119,17,1,171,1,6,7
2120,17,1,9085,1,4,9
2121,1,1,9147,1,5,5
2122,1,1,9147,1,9,7
2123,17,3,9238,1,4,10
2124,1,1,171,1,3,3
2125,43,1,9254,1,9,9
2126,17,2,9500,1,5,7
2127,1,3,9500,1,1,1
2128,1,1,171,1,8,8
2129,1,1,9070,1,5,7
2130,1,1,9085,1,3,7
2131,1,1,9238,1,5,7
2132,1,2,9147,1,4,5
2133,17,5,9500,1,4,5
2134,1,3,9500,1,1,1
2135,39,1,9254,1,4,1
2136,17,5,9070,1,9,9
2137,1,5,9773,1,9,9
2138,17,2,9556,1,4,8
2139,1,1,9147,1,5,8
2140,17,5,9500,1,5,4
2141,17,4,9085,1,4,9
2142,17,1,9238,1,9,9
2143,1,2,171,1,2,3
2144,39,1,8014,0,7,9
2145,17,1,9130,1,2,2
2146,1,1,9070,1,9,6
2147,1,6,9254,1,9,5
2148,10,1,9085,1,4,5
2149,1,1,9238,1,5,5
2150,1,1,9853,1,3,3
2151,44,1,9085,1,2,9
2152,1,4,9500,1,7,7
2153,42,1,9238,1,4,9
2154,1,1,9070,1,151,193
2155,1,1,9500,1,9,9
2156,17,2,171,1,4,1
2157,44,1,9085,1,9,10
2158,1,2,9853,1,3,5
2159,17,4,9254,1,5,8
2160,1,4,9500,1,1,2
2161,17,2,9670,1,0,0
2162,17,1,9238,1,7,9
2163,17,4,9500,1,3,3
2164,1,2,9773,1,3,3
2165,44,1,9238,1,9,3
2166,17,1,9500,1,5,9
2167,1,6,9147,1,9,9
2168,18,2,9500,1,3,2
2169,17,1,9670,1,2,1
2170,1,5,9500,1,5,8
2171,44,1,9085,1,4,4
2172,7,1,9070,1,9,7
2173,1,1,9085,1,4,2
2174,43,1,9238,1,4,3
2175,1,1,171,1,9,1
2176,1,4,9070,1,7,3
2177,43,1,8014,0,0,0
2178,17,1,9500,1,5,5
2179,1,3,9773,1,5,5
2180,17,1,171,1,7,7
2181,17,1,9238,1,5,4
2182,43,1,9500,1,7,7
2183,42,1,9853,1,9,3
2184,17,2,9238,1,3,4
2185,17,1,9254,1,7,5
2186,1,1,9070,1,4,4
2187,1,6,9500,1,5,7
2188,17,1,9254,1,2,3
2189,17,4,9773,1,5,5
2190,17,1,171,1,9,6
2191,1,6,9500,1,2,3
2192,39,1,9003,1,2,4
2193,17,1,9119,1,9,7
2194,1,1,171,1,5,8
2195,1,2,9773,1,4,7
2196,17,2,9147,1,5,7
2197,43,1,9070,1,4,7
2198,1,3,9147,1,9,9
2199,39,2,9556,1,9,10
2200,39,1,8014,0,9,7
2201,39,1,9500,1,9,1
2202,17,2,9254,1,6,6
2203,7,1,171,1,9,9
2204,5,2,9070,1,4,10
2205,44,1,9119,1,9,8
2206,1,5,9147,1,3,3
2207,43,1,9147,1,9,8
2208,17,2,9147,1,4,7
2209,1,5,9773,1,9,5
2210,1,3,9500,1,4,4
2211,1,1,9070,1,9,9
2212,1,1,9119,1,5,5
2213,1,1,9238,1,9,9
2214,44,1,9003,1,9,7
2215,1,2,9773,1,2,4
2216,18,2,9556,1,2,2
2217,16,2,9147,1,4,9
2218,7,1,9773,1,4,8
2219,1,1,9070,1,9,8
2220,39,1,9500,1,4,9
2221,1,2,9500,1,5,10
2222,43,1,9119,1,2,3
2223,17,1,171,1,4,6
2224,1,2,9500,1,9,7
2225,43,3,9254,1,9,9
2226,1,1,9670,1,3,3
2227,43,1,9003,1,9,6
2228,39,1,9773,1,9,3
2229,1,1,9070,1,3,9
2230,1,4,171,1,4,8
2231,1,1,171,1,2,2
2232,43,1,9147,1,1,1
2233,43,1,9254,1,0,0
2234,17,2,9254,1,5,7
2235,1,1,171,1,4,8
2236,1,1,9254,1,9,4
2237,39,1,9254,1,4,5
2238,39,1,9130,1,191,144
2239,39,1,9085,1,9,8
2240,39,1,9254,1,3,4
2241,39,1,9991,0,9,9
2242,43,1,9119,1,4,7
2243,17,4,9500,1,5,7
2244,39,1,9254,1,90,90
2245,17,4,9238,1,9,8
2246,17,1,9500,1,4,5
2247,43,2,9500,1,9,10
2248,44,1,9119,1,9,8
2249,1,1,9130,1,4,10
2250,44,1,9238,1,4,3
2251,16,1,171,1,9,7
2252,7,1,9085,1,2,2
2253,39,1,9119,1,0,0
2254,39,1,9991,0,5,5
2255,39,1,9254,1,9,6
2256,7,1,33,1,5,6
2257,44,1,9003,1,2,2
2258,7,1,9070,1,2,2
2259,39,1,8014,0,9,6
2260,1,2,9670,1,4,4
2261,43,1,9147,1,4,4
2262,1,1,9254,1,2,3
2263,39,1,9003,1,9,9
2264,1,1,9853,1,9,4
2265,18,1,9085,1,3,5
2266,7,1,9003,1,9,4
2267,1,4,9147,1,3,4
2268,43,1,9500,1,2,4
2269,39,1,9991,0,1,1
2270,7,1,9991,0,99,99
2271,17,2,9070,1,9,10
2272,39,1,9991,0,5,5
2273,1,4,8014,0,0,0
2274,39,1,171,1,9,9
2275,1,2,9991,0,4,2
2276,39,1,8014,0,6,6
2277,51,1,9773,1,5,3
2278,1,1,9070,1,4,9
2279,43,1,8014,0,5,5
2280,43,1,9003,1,4,2
2281,44,1,9003,1,9,6
2282,1,1,9254,1,9,9
2283,43,1,9238,1,1,2
2284,1,1,9070,1,4,4
2285,42,1,9147,1,9,9
2286,39,1,9991,0,6,8
2287,17,1,9254,1,3,3
2288,42,1,9119,1,5,5
2289,39,1,9991,0,2,7
2290,42,1,9119,1,2,2
2291,1,1,9238,1,5,10
2292,18,1,9147,1,90,90
2293,1,1,9773,1,9,9
2294,17,1,171,1,4,9
2295,17,3,9670,1,4,7
2296,43,2,9147,1,3,3
2297,1,1,9238,1,2,2
2298,1,1,9238,1,4,4
2299,39,1,9254,1,5,10
2300,44,1,9119,1,3,2
2301,17,1,9070,1,7,7
2302,1,1,9147,1,9,9
2303,18,5,9119,1,2,3
2304,17,1,9147,1,4,8
2305,1,3,9070,1,9,9
2306,7,1,9130,1,2,3
2307,43,2,9991,0,2,9
2308,1,1,9500,1,90,90
2309,17,3,9119,1,3,3
2310,1,1,9238,1,9,9
2311,1,1,9500,1,9,9
2312,1,1,9147,1,0,4
2313,44,1,9130,1,6,6
2314,1,1,9238,1,3,4
2315,1,1,9130,1,9,8
2316,39,1,9119,1,4,3
2317,39,1,9991,0,3,3
2318,1,1,9070,1,4,8
2319,17,1,9254,1,4,8
2320,39,1,9238,1,9,2
2321,43,1,9070,1,4,2
2322,39,1,9991,0,9,9
2323,39,1,9500,1,9,9
2324,18,1,9238,1,9,2
2325,39,1,9119,1,9,9
2326,51,1,9119,1,2,9
2327,39,1,9991,0,1,4
2328,1,1,171,1,9,2
2329,39,1,9070,1,5,10
2330,43,5,8014,0,0,0
2331,39,1,9003,1,9,7
2332,39,1,9003,1,4,10
2333,1,6,171,1,4,4
2334,1,1,9670,1,9,9
2335,17,4,9070,1,3,3
2336,43,1,9991,0,9,4
2337,39,1,9130,1,9,9
2338,17,5,9119,1,5,9
2339,17,1,9119,1,9,9
2340,39,1,9003,1,9,10
2341,17,4,9119,1,9,4
2342,43,1,9003,1,4,1
2343,17,2,9991,0,9,4
2344,17,1,9500,1,2,2
2345,53,1,9085,1,3,8
2346,43,1,9670,1,4,8
2347,18,1,9119,1,4,3
2348,39,1,9670,1,3,3
2349,39,1,9254,1,9,9
2350,18,1,9500,1,4,9
2351,44,1,9130,1,3,6
2352,1,1,9130,1,1,2
2353,17,1,9670,1,9,9
2354,1,2,9085,1,90,90
2355,17,4,9670,1,2,3
2356,1,1,171,1,4,3
2357,44,1,9003,1,6,6
2358,39,1,9003,1,2,2
2359,17,5,9254,1,2,3
2360,39,1,9119,1,9,7
2361,42,1,9773,1,4,3
2362,1,5,9147,1,9,9
2363,44,1,9119,1,4,5
2364,1,1,9003,1,9,9
2365,18,1,9773,1,4,7
2366,1,1,171,1,7,4
2367,17,1,9130,1,2,8
2368,1,1,9773,1,4,6
2369,39,1,9130,1,4,5
2370,44,1,9003,1,4,5
2371,1,5,171,1,9,2
2372,17,3,171,1,2,5
2373,1,2,9670,1,3,5
2374,39,1,9130,1,9,5
2375,1,1,9670,1,5,8
2376,39,1,9147,1,7,3
2377,39,1,9147,1,9,9
2378,43,1,9991,0,2,2
2379,1,1,9130,1,9,7
2380,17,1,9254,1,4,7
2381,1,3,9070,1,5,7
2382,7,1,9119,1,4,4
2383,53,1,9003,1,9,9
2384,17,1,9119,1,4,5
2385,44,1,9070,1,4,0
2386,1,5,9773,1,5,2
2387,1,1,171,1,5,7
2388,17,4,9147,1,5,5
2389,39,2,9238,1,5,5
2390,39,1,9003,1,9,1
2391,43,1,9003,1,5,4
2392,1,1,9147,1,9,5
2393,1,1,9254,1,4,5
2394,17,3,9147,1,6,5
2395,43,1,9773,1,9,7
2396,39,1,9003,1,4,5
2397,1,2,9773,1,4,4
2398,17,2,9773,1,2,3
2399,17,1,9500,1,5,5
2400,39,1,8014,0,9,1
2401,39,1,9991,0,9,9
2402,1,1,9147,1,9,3
2403,1,1,9500,1,5,10
2404,1,1,9500,1,9,9
2405,39,1,8014,0,9,9
2406,39,1,171,1,7,7
2407,39,1,9500,1,5,5
2408,18,1,9991,0,2,2
2409,39,1,9991,0,9,9
2410,7,1,9119,1,90,90
2411,39,1,8014,0,90,90
2412,39,2,9991,0,9,9
2413,39,2,8014,0,0,0
2414,43,2,9147,1,9,9
2415,43,2,9238,1,0,5
2416,17,2,9070,1,9,9
2417,43,1,9991,0,9,9
2418,53,1,171,1,9,9
2419,39,1,9003,1,192,144
2420,39,1,9085,1,9,10
2421,39,1,9991,0,5,5
2422,39,1,9003,1,9,9
2423,39,1,9003,1,9,8
2424,39,2,9119,1,5,5
2425,39,2,9147,1,9,9
2426,39,2,9991,0,9,9
2427,39,2,9670,1,9,9
2428,39,1,9003,1,4,10
2429,42,1,9119,1,0,0
2430,1,1,9773,1,6,3
2431,1,1,9991,0,9,9
2432,1,3,9773,1,9,7
2433,17,4,9119,1,5,7
2434,43,1,9085,1,9,7
2435,42,1,9119,1,5,8
2436,39,1,9003,1,2,6
2437,1,4,9119,1,9,5
2438,7,1,9003,1,9,7
2439,43,1,9670,1,0,0
2440,18,3,9147,1,4,7
2441,39,1,8014,0,6,6
2442,43,1,9670,1,0,0
2443,39,1,9003,1,4,6
2444,1,1,9853,1,0,0
2445,39,1,9500,1,9,9
2446,7,1,9991,0,6,6
2447,39,1,9254,1,9,10
2448,39,1,9119,1,9,4
2449,7,1,9991,0,9,9
2450,1,1,171,1,5,9
2451,39,1,9003,1,9,10
2452,1,1,9085,1,9,9
2453,15,1,171,1,2,9
2454,18,1,9119,1,3,5
2455,44,1,9003,1,5,5
2456,39,1,9070,1,7,7
2457,1,1,9147,1,4,8
2458,17,2,9119,1,5,5
2459,1,1,9147,1,9,9
2460,39,1,9773,1,7,4
2461,18,3,9254,1,9,6
2462,1,1,171,1,2,2
2463,17,5,9254,1,9,9
2464,39,1,9991,0,9,9
2465,39,1,9130,1,9,10
2466,1,1,9119,1,9,9
2467,44,1,9003,1,9,1
2468,43,1,9070,1,8,7
2469,39,2,9147,1,9,9
2470,44,1,9130,1,2,5
2471,39,1,9085,1,90,90
2472,1,1,9670,1,9,9
2473,39,1,9003,1,1,6
2474,1,1,9773,1,2,5
2475,39,1,8014,0,9,9
2476,43,2,9500,1,4,4
2477,1,1,9254,1,9,9
2478,1,1,9500,1,4,7
2479,1,2,9147,1,9,4
2480,43,1,171,1,2,2
2481,1,1,9070,1,5,5
2482,39,1,9991,0,5,5
2483,53,1,9003,1,9,6
2484,39,1,9147,1,9,5
2485,39,1,9003,1,9,9
2486,39,1,9670,1,90,99
2487,18,1,9147,1,9,7
2488,17,6,9147,1,5,6
2489,1,2,9254,1,2,8
2490,17,2,9773,1,4,4
2491,1,2,9147,1,9,6
2492,51,1,8014,0,4,4
2493,39,1,9003,1,8,7
2494,1,1,9773,1,9,9
2495,39,1,9773,1,0,0
2496,1,1,171,1,9,9
2497,1,2,8014,0,9,10
2498,39,1,171,1,2,7
2499,39,1,9238,1,9,9
2500,44,1,9085,1,1,1
2501,39,1,8014,0,9,1
2502,51,1,33,1,5,7
2503,39,1,9500,1,5,5
2504,18,3,9853,1,9,5
2505,1,6,9500,1,9,9
2506,1,1,9556,1,4,9
2507,39,1,8014,0,9,7
2508,17,1,171,1,9,7
2509,43,1,9070,1,9,7
2510,10,2,9773,1,3,5
2511,15,1,9500,1,122,4
2512,17,4,9500,1,2,2
2513,10,2,9085,1,4,9
2514,1,1,9670,1,4,3
2515,17,4,9119,1,191,171
2516,17,1,9070,1,1,5
2517,1,3,9500,1,9,5
2518,17,1,9254,1,5,4
2519,1,3,9773,1,5,5
2520,1,6,9254,1,5,7
2521,1,2,9254,1,7,4
2522,17,6,9500,1,7,7
2523,17,1,9853,1,5,5
2524,17,4,9238,1,9,5
2525,1,2,9085,1,4,7
2526,1,4,9070,1,9,7
2527,17,6,9500,1,7,7
2528,17,2,9773,1,2,6
2529,17,1,9147,1,4,8
2530,17,1,9773,1,4,7
2531,44,1,9003,1,9,6
2532,16,2,9238,1,3,5
2533,17,1,9130,1,2,6
2534,1,1,9238,1,8,7
2535,17,2,9853,1,1,5
2536,43,1,9130,1,3,2
2537,1,1,9670,1,7,7
2538,15,1,9670,1,2,7
2539,18,1,9130,1,9,5
2540,7,1,9147,1,4,7
2541,1,1,9853,1,4,5
2542,17,2,9556,1,9,9
2543,17,1,9070,1,4,3
2544,44,1,9003,1,6,3
2545,1,3,9773,1,2,8
2546,1,1,9238,1,9,5
2547,1,5,9500,1,7,7
2548,1,2,9773,1,9,9
2549,17,2,9254,1,5,3
2550,43,1,8014,0,9,9
2551,17,3,9070,1,4,4
2552,1,1,8014,0,5,5
2553,17,1,9991,0,0,0
2554,18,4,9119,1,194,175
2555,1,1,9119,1,5,8
2556,15,1,9147,1,2,3
2557,1,2,171,1,2,2
2558,43,1,9147,1,141,171
2559,1,1,9773,1,5,10
2560,17,5,9853,1,2,7
2561,1,3,9500,1,7,7
2562,39,1,9500,1,2,10
2563,1,1,9238,1,2,4
2564,1,1,9254,1,5,5
2565,15,1,9238,1,9,6
2566,17,1,9500,1,5,4
2567,39,1,8014,0,9,8
2568,39,1,9147,1,9,7
2569,1,2,9773,1,3,9
2570,1,4,9500,1,9,7
2571,1,1,9500,1,9,9
2572,1,1,9238,1,4,10
2573,1,4,9500,1,9,9
2574,16,3,9773,1,4,9
2575,39,1,8014,0,7,5
2576,44,1,9085,1,9,9
2577,1,4,9254,1,9,7
2578,17,4,9500,1,5,8
2579,1,1,9238,1,9,9
2580,1,1,9238,1,4,7
2581,39,1,9003,1,4,7
2582,1,1,9147,1,9,5
2583,39,1,9991,0,9,8
2584,1,1,9853,1,9,4
2585,17,2,8014,0,0,0
2586,18,2,9147,1,5,5
2587,1,4,9147,1,4,6
2588,17,1,9853,1,9,10
2589,1,4,9853,1,5,9
2590,39,1,9003,1,9,9
2591,1,1,9853,1,9,9
2592,7,1,9147,1,9,8
2593,39,1,9556,1,4,5
2594,17,1,9147,1,7,7
2595,17,1,9070,1,5,9
2596,1,1,9070,1,5,9
2597,43,1,171,1,9,9
2598,17,3,9085,1,5,5
2599,17,3,9853,1,7,7
2600,17,3,9853,1,5,9
2601,17,1,9254,1,4,9
2602,1,3,9238,1,5,8
2603,1,5,9085,1,9,8
2604,17,1,9238,1,7,5
2605,44,1,9085,1,192,192
2606,10,1,9085,1,5,5
2607,1,1,9773,1,9,7
2608,17,4,9254,1,5,5
2609,43,1,9991,0,9,9
2610,17,2,9500,1,5,8
2611,17,2,9773,1,5,5
2612,1,1,9130,1,5,5
2613,39,1,9991,0,4,9
2614,1,4,9119,1,2,9
2615,1,1,9130,1,9,9
2616,17,1,9853,1,5,7
2617,17,1,9254,1,5,4
2618,17,2,9853,1,5,5
2619,44,1,9238,1,5,5
2620,42,1,9070,1,2,2
2621,1,1,9070,1,9,9
2622,51,1,8014,0,134,193
2623,43,1,9991,0,9,8
2624,1,4,9773,1,3,9
2625,39,1,9991,0,9,9
2626,1,1,9500,1,4,3
2627,1,1,9500,1,4,4
2628,1,1,9147,1,7,7
2629,39,9,9991,0,9,5
2630,39,1,9991,0,9,7
2631,17,1,9254,1,0,5
2632,43,1,9500,1,7,4
2633,1,4,9500,1,4,4
2634,1,1,9670,1,7,5
2635,39,2,9556,1,2,4
2636,1,2,9254,1,9,9
2637,16,2,171,1,2,2
2638,17,1,9147,1,9,7
2639,1,2,171,1,4,7
2640,39,1,9119,1,9,9
2641,1,1,9773,1,9,9
2642,17,5,9670,1,2,2
2643,39,1,9991,0,5,4
2644,39,1,9003,1,6,4
2645,1,1,171,1,7,7
2646,43,1,9070,1,3,7
2647,44,1,9003,1,9,5
2648,43,1,8014,0,9,10
2649,1,1,9500,1,9,8
2650,1,1,9500,1,2,8
2651,7,1,9003,1,2,10
2652,1,1,9670,1,4,5
2653,39,2,9147,1,5,7
2654,17,5,9500,1,2,1
2655,39,1,9500,1,9,9
2656,16,1,171,1,5,10
2657,17,2,9853,1,9,9
2658,1,1,171,1,5,5
2659,1,1,9254,1,3,3
2660,39,1,9991,0,3,9
2661,39,1,9773,1,9,7
2662,1,1,9500,1,3,5
2663,39,1,9991,0,5,5
2664,39,1,9991,0,9,3
2665,39,1,9773,1,9,10
2666,17,4,9070,1,9,9
2667,39,1,9991,0,4,4
2668,39,1,9500,1,9,7
2669,39,1,8014,0,9,9
2670,17,5,9119,1,5,5
2671,39,1,9991,0,1,4
2672,1,2,9254,1,9,8
2673,39,1,9991,0,99,99
2674,17,1,9670,1,5,5
2675,1,1,9254,1,1,1
2676,42,1,9556,1,9,6
2677,43,1,9991,0,9,9
2678,44,1,9003,1,134,134
2679,39,1,9991,0,175,103
2680,43,1,9500,1,0,0
2681,39,1,9500,1,7,8
2682,7,1,9991,0,6,7
2683,17,1,9085,1,5,9
2684,7,1,9003,1,5,9
